  HIP   Vmag  Pl       ePlx  B-V    e_B-V  V-I   e_V-I SpType
  1599  4.23  116.38   0.64  0.576  0.010  0.65  0.02 F9V
  2021  2.82  133.78   0.51  0.618  0.008  0.68  0.02 G2V
  3765  5.74  134.04   0.86  0.890  0.008  0.97  0.02 K2V
  3821  3.46  167.99   0.62  0.587  0.003  0.66  0.00 G0V
  5336  5.17  132.40   0.60  0.704  0.004  0.83  0.02 G5V
  5496  9.80  122.86   7.53  1.568  0.028  2.52  0.12 K2V
  7751  5.76  122.75   1.41  0.880  0.400  0.93  0.02 K0V
  7981  5.24  133.91   0.91  0.836  0.008  0.88  0.01 K1V
  8102  3.49  274.17   0.80  0.727  0.007  0.82  0.02 G8V
  8362  5.63  100.24   0.68  0.804  0.010  0.81  0.00 K0V
  9786 12.15  105.64   3.00  1.719  0.032  2.93  0.09 K2V
 12114  5.79  138.72   1.04  0.918  0.019  1.06  0.02 K3V
 15457  4.84  109.18   0.78  0.681  0.006  0.73  0.02 G5V
 15510  4.26  165.02   0.55  0.711  0.005  0.79  0.02 G8V
 16537  3.72  310.75   0.85  0.881  0.007  0.94  0.02 K2V
 17378  3.52  110.58   0.88  0.915  0.018  0.94  0.02 K0V
 19849  4.43  198.24   0.84  0.820  0.000  0.89  0.02 K1V
 22449  3.19  124.60   0.95  0.484  0.003  0.53  0.02 F6V
 23311  6.22  113.46   0.82  1.049  0.011  1.10  0.02 K3V
 23512 11.71  107.86   2.95  1.661  0.020  2.76  0.06 K2V
 27072  3.59  111.49   0.60  0.481  0.011  0.57  0.02 F7V
 27913  4.39  115.43   1.08  0.594  0.008  0.66  0.02 G0V
 32349 -1.44  379.21   1.58  0.009  0.007 -0.02  0.00 A0V
 32984  6.58  114.94   0.86  1.071  0.008  1.04  0.01 K3V
 33226  9.89  181.32   1.87  1.580  0.040  2.56  0.09 K2V
 37279  0.40  285.93   0.88  0.432  0.015  0.49  0.02 F5V
120005  7.70  159.48   6.61  1.420  0.010  1.72  0.03 K2V
 46655 11.71  103.56   3.91  1.588  0.015  2.57  0.03 K2V
 47103 10.91  111.41   1.99  1.572  0.014  2.35  0.02 K2V
 49908  6.60  205.22   0.81  1.326  0.008  1.29  0.01 K8V
 54211  8.82  206.94   1.19  1.491  0.002  2.01  0.01 M2V
 55360  9.31  109.95   1.11  1.412  0.018  1.70  0.05 M1V
 56452  5.96  104.84   0.81  0.811  0.007  0.88  0.02 K0V
 56997  5.31  104.81   0.72  0.723  0.014  0.78  0.04 G8V
 57443  4.89  108.23   0.70  0.664  0.004  0.73  0.02 G5V
 57939  6.42  109.21   0.78  0.754  0.009  0.88  0.02 G8V
 61317  4.24  119.46   0.83  0.588  0.009  0.67  0.01 G0V
 64394  4.23  109.23   0.72  0.572  0.006  0.67  0.04 G0V
 64924  4.74  117.30   0.71  0.709  0.007  0.75  0.02 G5V
 71681  1.35  742.12   1.40  0.900  0.020  0.88  0.02 K1V
 71683 -0.01  742.12   1.40  0.710  0.040  0.69  0.02 G2V
 72659  4.54  149.26   0.76  0.720  0.015  0.82  0.03 K0V
 73182  8.01  133.63  33.56  1.519  0.025  2.22  0.19 K5V
 73184  5.72  169.32   1.67  1.024  0.015  1.23  0.08 K4V
 81300  5.77  102.27   0.85  0.827  0.012  0.87  0.02 K2V
 82003  8.10  102.35   0.88  1.310  0.019  1.51  0.03 K7V
 84140  9.31  158.17   3.26  1.485  0.028  1.98  0.16 K5V
 84478  6.33  167.56   1.06  1.144  0.020  1.28  0.02 K5V
 84709  5.91  143.45  17.12  1.082  0.027  1.21  0.02 K4V
 85295  7.54  129.54   0.95  1.359  0.011  1.62  0.01 K7V
 85523  9.38  220.43   1.63  1.553  0.017  2.40  0.01 K5V
 86057 10.13  102.30   2.21  1.543  0.020  2.27  0.01 K5V
 86162  9.15  220.85   0.92  1.505  0.013  2.11  0.10 M3V
 86974  3.42  119.05   0.62  0.750  0.015  0.71  0.02 G5V
 88601  4.03  196.62   1.38  0.860  0.010  0.96  0.02 K0V
 89937  3.55  124.11   0.48  0.489  0.005  0.62  0.04 F7V
 91262  0.03  128.93   0.55 -0.001  0.005 -0.01  0.02 A0V
 91768  8.94  280.28   2.57  1.504  0.008  2.10  0.06 K5V
 91772  9.70  284.48   5.01  1.561  0.005  2.49  0.02 K5V
 96100  4.67  173.41   0.46  0.786  0.007  0.85  0.02 K0V
 97649  0.76  194.44   0.94  0.221  0.010  0.27  0.02 A7V
 99240  3.55  163.73   0.65  0.751  0.021  0.76  0.02 G5V
 99461  5.32  165.24   0.90  0.868  0.018  0.98  0.02 K2V
 99825  5.73  113.33   0.89  0.878  0.018  0.93  0.02 K3V
104214  5.20  287.13   1.51  1.069  0.015  1.13  0.02 K5V
104217  6.05  285.42   0.72  1.309  0.012  1.27  0.01 K7V
105858  4.21  108.50   0.59  0.494  0.020  0.61  0.02 F6V
108870  4.69  275.76   0.69  1.056  0.016  1.15  0.02 K5V
113229 10.42  116.02   1.33  1.485  0.015  2.43  0.02 K2V
113283  6.48  130.94   0.92  1.094  0.006  1.20  0.02 K4V
  3829 12.37  226.95   5.35  0.554  0.003  0.49  0.02 DG0
 84405  4.33  167.08   1.07  0.855  0.010  0.92  0.02 K2I
113368  1.17  130.08   0.92  0.145  0.011  0.16  0.01 A3V
113576  7.88  122.80   0.94  1.379  0.018  1.63  0.00 K5V
114622  5.57  153.24   0.65  1.000  0.000  1.04  0.00 K3V
